"Date","Price","Open","High","Low","Vol.","Change %"
"17/03/2025","26.77","27.22","27.30","26.75","","1.13%"
"14/03/2025","26.47","25.91","26.88","25.90","","1.34%"
"13/03/2025","26.12","26.26","26.59","25.69","","-3.83%"
"12/03/2025","27.16","27.75","27.76","26.86","","-1.81%"
"11/03/2025","27.66","28.56","28.67","27.53","","0.18%"
"10/03/2025","27.61","28.78","28.80","27.59","","-3.86%"
"07/03/2025","28.72","28.58","29.32","28.23","","-0.49%"
"06/03/2025","28.86","27.96","28.88","27.78","","5.99%"
"05/03/2025","27.23","27.37","27.78","26.85","","-2.33%"
"04/03/2025","27.88","29.15","29.25","27.63","","-2.48%"
"03/03/2025","28.59","29.57","29.73","28.56","","-5.80%"
"28/02/2025","30.35","29.23","30.45","28.98","","4.48%"
"27/02/2025","29.05","28.85","29.39","28.57","","-0.17%"
"26/02/2025","29.10","28.26","29.50","27.39","","3.56%"
"25/02/2025","28.10","28.85","28.85","27.95","","-3.17%"
"24/02/2025","29.02","29.21","29.69","28.63","","2.04%"
"21/02/2025","28.44","27.96","28.44","27.32","","6.36%"
"20/02/2025","26.74","27.04","27.13","26.14","","-1.55%"
"19/02/2025","27.16","28.46","28.46","27.14","","-6.51%"
"18/02/2025","29.05","28.91","29.74","27.78","","-1.22%"
"17/02/2025","29.41","27.75","31.95","27.75","","-0.44%"
"14/02/2025","29.54","26.89","29.56","26.87","","7.46%"
"13/02/2025","27.49","27.20","28.73","26.93","","2.35%"
"12/02/2025","26.86","26.18","26.90","25.55","","5.42%"
"11/02/2025","25.48","26.59","27.07","18.32","","-5.38%"
"10/02/2025","26.93","26.70","27.31","26.49","","5.28%"
"07/02/2025","25.58","25.27","26.06","24.76","","1.59%"
"06/02/2025","25.18","25.16","25.75","24.56","","-3.27%"
"05/02/2025","26.03","26.86","26.86","25.45","","-5.41%"
"04/02/2025","27.52","26.31","27.54","25.32","","6.09%"
"03/02/2025","25.94","26.69","27.34","25.54","","5.49%"
"28/01/2025","24.59","23.89","24.90","22.67","0.00K","1.44%"
"27/01/2025","24.24","23.14","24.38","23.11","0.00K","8.26%"
"24/01/2025","22.39","21.92","23.51","21.21","0.00K","3.90%"
"23/01/2025","21.55","22.95","23.68","21.39","0.00K","-1.42%"
"22/01/2025","21.86","23.08","23.08","21.77","0.00K","-10.78%"
"21/01/2025","24.50","24.91","25.43","23.82","0.00K","0.99%"
