,Ticker,Name,Sector,Industry,Headquarters,Business Summary
0,0005.HK,HSBC HOLDINGS,Financial Services,Banks - Diversified,"London, United Kingdom","HSBC Holdings plc engages in the provision of banking and financial products and services worldwide. It operates through three segments: Wealth and Personal Banking, Commercial Banking, and Global Banking and Markets. The Wealth and Personal Banking segment offers retail banking and wealth products, including current and savings accounts, mortgages and personal loans, credit and debit cards, and local and international payment services; and wealth management services comprising insurance and investment products, global asset management services, and investment management and private wealth solutions. This segment serves personal banking and high net worth individuals. The Commercial Banking segment provides credit and lending, treasury management, payment, cash management, commercial insurance, and investment services; commercial cards; international trade and receivables finance services; foreign exchange products; capital raising services on debt and equity markets; and advisory services. It serves small and medium sized enterprises, mid-market enterprises, and corporates. The Global Banking and Markets segment offers financing, advisory, and transaction services; and credit, rates, foreign exchange, equities, money markets, and securities services; and investment services. It serves government, corporate and institutional clients, and private investors. The company was founded in 1865 and is based in London, the United Kingdom."
1,0011.HK,HANG SENG BANK,Financial Services,Banks - Regional,"Central, Hong Kong","Hang Seng Bank Limited, together with its subsidiaries, provides various banking and related financial services to individual, corporate, commercial, and small and medium sized enterprises in Hong Kong, the Mainland of China, and internationally. It operates through five segments: Wealth and Personal Banking, Commercial Banking, Global Banking, Global Markets, and Other. The company offers personal and business banking services, current and savings accounts, time deposits, mortgage and personal loans, credit cards, insurance, and investment. It also provides corporate lending, trade and receivable finance, payments and cash management, treasury and foreign exchange, distribution of general and key-person insurance, investment services, and corporate wealth management; and financial solutions to major corporate and institutional client comprising general and transaction banking, corporate lending, deposits, and cash management. In addition, the company offers foreign exchange, bullion, equities, fixed income, and securities financing services; and funding and liquidity position activities; Retirement benefits and life assurance; fund management; trading and dealing in securities; fund raising, fund sales and asset management; transfer and payment services; digital services, including e-mobile, mobile, and phone banking. It operates service outlets in Hong Kong; branches in Macau and Singapore; and representative office in Taipei, as well as a network of outlets in the Mainland of China. The company was founded in 1933 and is based in Central, Hong Kong. Hang Seng Bank Limited operates as a subsidiary of The Hongkong and Shanghai Banking Corporation Limited."
2,0388.HK,HKEX,Financial Services,Financial Data & Stock Exchanges,"Central, Hong Kong","Hong Kong Exchanges and Clearing Limited, together with its subsidiaries, owns and operates stock and futures exchanges, and related clearing houses in Hong Kong, the United Kingdom, and Mainland China. It operates through Cash, Equity and Financial Derivatives, Commodities, and Data and Connectivity segments. The Cash segment covers various equity products traded on the cash market platforms of the Stock Exchange of Hong Kong Limited, as well as through the Shanghai-Hong Kong and the Shenzhen-Hong Kong stock connects; clearing, settlement and custodian, listing, depository, and nominee services; and other related activities. Its Equity and Financial Derivatives segment provides and maintains trading and clearing platforms for a range of equity and financial derivative products, such as stock and equity index futures and options, derivative warrants, callable bull/bear contracts and warrants, and over the counter derivatives contracts. The Commodities segment operates an exchange for the trading of base, ferrous, and precious metals futures and options contracts in the United Kingdom; and operates Qianhai Mercantile Exchange Co., Ltd., a commodity trading platform in Mainland China. This segment also covers commodities contracts traded on Futures Exchange. Its Data and Connectivity segment offers various services that provides access to the platform and infrastructure, as well as services of BayConnect Technology Company Limited; network, terminal user, data line and software sublicense, and hosting services; and sells market data relating to the Hong Kong cash and derivatives markets. The company serves issuers and investors. Hong Kong Exchanges and Clearing Limited was incorporated in 1999 and is based in Central, Hong Kong."
3,0939.HK,CCB,Financial Services,Banks - Diversified,"Beijing, China","China Construction Bank Corporation engages in the provision of various banking and related financial services to individuals and corporate customers in the People's Republic of China and internationally. It operates through Corporate Finance Business, Personal Finance Business, Treasury and Asset Management Business, and Others segments. The company offers corporate and personal loans; trade financing; care business; deposit taking and wealth management, agency, financial consulting and advisory, cash management, remittance and settlement, guarantee, and investment banking services to individuals, corporations, government agencies, and financial institutions. It also involved in inter-bank deposit and placement transactions, repurchase and resale transactions, and invests in debt securities; trades in derivatives and foreign currencies; precious metal trading; and custody services. In addition, the company provides finance leasing, transfer and purchase of finance lease assets, and fixed-income investment; motor vehicle, business and household property, construction and engineering, liability insurance, hull and cargo, and short-term health and accidental injury insurance, as well as reinsurance; and cost consulting, whole-process engineering consulting, project management, investment consulting, and bidding agency services; and debt-to-equity swaps and relevant supporting businesses. Further, it engages in private equity investment and management of development funds and other private equity funds; investment banking related services, such as sponsoring and underwriting of public offerings, corporate merger and acquisition and restructuring, direct investment, asset management, and securities brokerage and market research; house rental business; raising and selling of funds; management of annuity and pension funds; and pension advisory service. China Construction Bank Corporation was founded in 1954 and is headquartered in Beijing, the People's Republic of China."
4,1299.HK,AIA,Financial Services,Insurance - Life,"Wan Chai, Hong Kong","AIA Group Limited, together with its subsidiaries, provides life insurance based financial services. The company offers life insurance, accident, and health insurance and savings plans; and employee benefits, credit life, and pension services to corporate clients. It is also involved in the distribution of investment and other financial services products. The company sells its products through a network of agents and partners in Mainland China, Hong Kong, Macau, Thailand, Singapore, Malaysia, Australia, Cambodia, Indonesia, Myanmar, New Zealand, the Philippines, South Korea, Sri Lanka, Taiwan, Brunei, Vietnam, and India. AIA Group Limited was founded in 1919 and is based in Wan Chai, Hong Kong."
5,1398.HK,ICBC,Financial Services,Banks - Diversified,"Beijing, China","Industrial and Commercial Bank of China Limited, together with its subsidiaries, provides banking products and services in the People's Republic of China and internationally. The company operates through Corporate Banking, Personal Banking, and Treasury Operations segments. The Corporate Banking segment offers financial products and services, such as deposits, trade financing, corporate wealth management, custody, and various corporate intermediary services, as well as corporate loans to corporations, government agencies, and financial institutions. The Personal Banking segment provides financial products and services, including deposit-taking activities, personal loans, card business, personal wealth management services, and various personal intermediary services to individual customers. The Treasury Business segment is involved in the money market transactions, investment securities, and proprietary and foreign exchange transactions businesses. It is also involved in the fund raising, fund sales, asset management, and other businesses; financial leasing; insurance businesses, such as life, health, and accident insurance, as well as reinsurance; sponsorship and underwriting for listing, underwriting for bond issuance, financial consulting, direct investment, sales and trading, asset management, market research, etc.; provision of all-round cross-border comprehensive financial services for corporate and personal customers; debt-for-equity swaps; and issuance of wealth management products, wealth management advisory and consulting services. Industrial and Commercial Bank of China Limited was incorporated in 1984 and is based in Beijing, the People's Republic of China."
6,2318.HK,"Ping An Insurance (Group) Company of China, Ltd.",Financial Services,Insurance - Life,"Shenzhen, China","Ping An Insurance (Group) Company of China, Ltd. provides financial products and services for life insurance, property and casualty insurance, trust, securities, banking, and other businesses in the People's Republic of China. It operates through Life and Health Insurance; Property and Casualty Insurance; Banking; Asset Management; and Finance Enablement segments. The company offers life insurance products, including term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance products; and auto, non-auto, and accident and health insurance to individual and corporate customers. It also undertakes loan and intermediary businesses with corporate and retail customers; and provides wealth management and credit card services to individual customers, as well as trust products services, brokerage services, trading services, investment banking services, investment management services, finance lease business, and other asset management services. In addition, the company offers financial and daily-life services through internet platforms such as financial transaction information service platform and health care service platform. Further, it is involved in the provision of annuity insurance; IT and business process outsourcing services; internet, money, custom loyalty, corporation management, and credit information services; futures and currency brokerage; real estate investment and development; property leasing and management; operates as a property agency and sales agency of insurance; fund raising and distribution; commercial factoring; expressway operation; equity investment; securities investment and brokerage; fund sales and settlement; and production and sale of consumer chemicals; logistics and warehousing; e-commerce business; micro loans; consulting services; infant products; real estate consulting; and commodity trade. The company was incorporated in 1988 and is based in Shenzhen, China."
7,2388.HK,BOC Hong Kong (Holdings) Limited,Financial Services,Banks - Regional,"Central, Hong Kong","BOC Hong Kong (Holdings) Limited, an investment holding company, provides banking and related financial services in Hong Kong, China, and internationally. The company operates through four segments: Personal Banking, Corporate Banking, Treasury, and Insurance. The company offers general banking services, including deposit products, overdrafts, loans, credit cards, trade related products, and other credit facilities; investment, and insurance products; and foreign currency and derivative products. It also provides funding, liquidity, and the interest rate and foreign exchange positions of the Group in addition to proprietary trades; insurance products, including individual life insurance and group life insurance products, as well as premises, investment properties, equity investments, and joint ventures. In addition, the company offers savings, current, monthly deposits plan, and time deposit accounts; mortgage plans; corporate deposits, and payroll and e-cheques services. Further, it provides cross-border financial and remittance services; and securities, funds, foreign exchange services, precious metals and FX margin services, currency linked investments, bonds, market information services, monthly savings plans, and structured products, as well as business and personal loans; and overdraft facility services. Additionally, the company provides insurance products, such as life, medical and accident protection, travel and leisure, family protection, and business protection products; and credit cards. Again, it offers personal and corporate RMB services; RMB clearing bank services; and wealth management, private wealth, private banking, and corporate banking services. It serves retail customers, small enterprises, and corporate customers. BOC Hong Kong (Holdings) Limited was founded in 1917 and is based in Central, Hong Kong. BOC Hong Kong (Holdings) Limited operates as a subsidiary of BOC Hong Kong (BVI) Limited."
8,2628.HK,China Life Insurance Company Limited,Financial Services,Insurance - Life,"Beijing, China","China Life Insurance Company Limited, together with its subsidiaries, operates as a life insurance company in the People's Republic of China. The company operates through: Life Insurance Business, Health Insurance Business, Accident Insurance Business, and Other Businesses segments. It offers critical illness protection, annuity, children/women/old-age, security, life, medical, and accident protection insurance products. The company was founded in 1949 and is based in Beijing, the People's Republic of China. China Life Insurance Company Limited is a subsidiary of China Life Insurance (Group) Company."
9,3968.HK,"China Merchants Bank Co., Ltd.",Financial Services,Banks - Regional,"Shenzhen, China","China Merchants Bank Co., Ltd., together with its subsidiaries, provides various banking products and services. It operates through Wholesale Finance Business, Retail Finance Business, and Other Business segments. The company offers current, demand, time, call, savings, notice, and renminbi accounts. Its loan products include personal commercial real estate, consumption, housing, and car loans; loans to finance for studying abroad; micro-business loans; mortgage loans for equipment; joint guarantee, special guarantee, and housing mortgage loan; bank acceptance, discount, liquid capital, and fixed asset loans; and loans for vessels. The company also offers credit cards; insurance products; open-ended funds; discount and guarantees for commercial bills, redemption of commercial bills, and guaranteed discount for commercial acceptance bills; and financial consultation, debt financing underwriting, merger and acquisition financing, and equity financing and enterprise listing services. In addition, it provides forfeiting and risk participation, escrow, cross-border RMB clearing, and interbank services; and risk and financial management, cross-border RMB and oversea financing, international factoring and settlement, and trade finance services. Further, the company offers financial leasing and guarantee, investment and wealth management, forex option and gold trading, forex express trading, international, offshore and private banking, custody, pension, and electronic banking services. The company also operates in Hong Kong, New York, London, Singapore, Luxembourg, and Sydney. The company was founded in 1987 and is headquartered in Shenzhen, China.

New York, Lon"
