,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,Ticker,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2024-05-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Tax Effect Of Unusual Items,-466012000.0,-261670000.0,-280684000.0,-713977150.111076,,0005.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.226,0.191,0.047,0.222839,,0005.HK,,,,,,,,,,,,,,
Total Unusual Items,-2062000000.0,-1370000000.0,-5972000000.0,-3204000000.0,,0005.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-2062000000.0,-1370000000.0,-5972000000.0,-3204000000.0,,0005.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,23979000000.0,23533000000.0,15559000000.0,13917000000.0,,0005.HK,,,,,,,,,,,,,,
Reconciled Depreciation,4080000000.0,3466000000.0,3850000000.0,4286000000.0,,0005.HK,,,,,,,,,,,,,,
Net Interest Income,32733000000.0,35796000000.0,30377000000.0,26489000000.0,,0005.HK,,,,,,,,,,,,,,
Interest Expense,75898000000.0,65072000000.0,22449000000.0,9699000000.0,,0005.HK,,,,,,,,,,,,,,
Interest Income,108631000000.0,100868000000.0,52826000000.0,36188000000.0,,0005.HK,,,,,,,,,,,,,,
Normalized Income,25651988000.0,24356330000.0,21397316000.0,16994022849.888924,,0005.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,23979000000.0,23533000000.0,15559000000.0,13917000000.0,,0005.HK,,,,,,,,,,,,,,
Diluted Average Shares,,19600000000.0,19986000000.0,20302000000.0,20242000000.0,0005.HK,,,,,,,,,,,,,,
Basic Average Shares,,19478000000.0,19849000000.0,20197000000.0,20169000000.0,0005.HK,,,,,,,,,,,,,,
Diluted EPS,,1.14,0.72,0.62,0.19,0005.HK,,,,,,,,,,,,,,
Basic EPS,,1.15,0.72,0.62,0.19,0005.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,22917000000.0,22432000000.0,14346000000.0,12607000000.0,,0005.HK,,,,,,,,,,,,,,
