,Shares,Value,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Ticker
0,17,197.0,,Bought at price 11.60 per share.,Stuart (Ian),,,2025-03-27,D,0005.HK
1,60347,685300.0,,Sold at price 11.36 per share.,Riley (Stuart),,,2025-03-20,D,0005.HK
2,49805,,,,Riley (Stuart),,,2025-03-11,D,0005.HK
3,23409,256984.0,,Sold at price 10.98 per share.,Riley (Stuart),,,2025-03-11,D,0005.HK
4,38376,,,,Stuart (Ian),,,2025-03-11,D,0005.HK
5,18038,197083.0,,Sold at price 10.93 per share.,Stuart (Ian),,,2025-03-11,D,0005.HK
6,72686,,,,Roberts (Michael),,,2025-03-11,D,0005.HK
7,37107,405431.0,,Sold at price 10.93 per share.,Roberts (Michael),,,2025-03-11,D,0005.HK
8,21084,,,,Roberts (Michael),,,2025-03-11,D,0005.HK
9,10764,118167.0,,Sold at price 10.98 per share.,Roberts (Michael),,,2025-03-11,D,0005.HK
10,12542,,,,White (Suzanna),,,2025-03-11,D,0005.HK
11,5557,60715.0,,Sold at price 10.93 per share.,White (Suzanna),,,2025-03-11,D,0005.HK
12,15231,,,,White (Suzanna),,,2025-03-11,D,0005.HK
13,6748,74079.0,,Sold at price 10.98 per share.,White (Suzanna),,,2025-03-11,D,0005.HK
14,47218,535499.0,,Bought at price 11.34 per share.,Rosha (Surendra),,,2025-03-11,D,0005.HK
15,7556,82556.0,,Sold at price 10.93 per share.,Rosha (Surendra),,,2025-03-11,D,0005.HK
16,11177,,,,Rosha (Surendra),,,2025-03-11,D,0005.HK
17,1789,19639.0,,Sold at price 10.98 per share.,Rosha (Surendra),,,2025-03-11,D,0005.HK
18,88229,,,,Elhedery (Georges),,,2025-03-11,D,0005.HK
19,41469,453090.0,,Sold at price 10.93 per share.,Elhedery (Georges),,,2025-03-11,D,0005.HK
20,43803,,,,O'Byrne (Barry),,,2025-03-11,D,0005.HK
21,7010,76591.0,,Sold at price 10.93 per share.,O'Byrne (Barry),,,2025-03-11,D,0005.HK
22,47218,,,,Liao (David),,,2025-03-11,D,0005.HK
23,7556,82556.0,,Sold at price 10.93 per share.,Liao (David),,,2025-03-11,D,0005.HK
24,10785,,,,Liao (David),,,2025-03-11,D,0005.HK
25,67319,,,,Kaur (Pam),,,2025-03-11,D,0005.HK
26,31641,345709.0,,Sold at price 10.93 per share.,Kaur (Pam),,,2025-03-11,D,0005.HK
27,11711,,,,Blackburn (Richard Martin),,,2025-03-11,D,0005.HK
28,5505,60147.0,,Sold at price 10.93 per share.,Blackburn (Richard Martin),,,2025-03-11,D,0005.HK
29,20724,,,,Blackburn (Richard Martin),,,2025-03-10,D,0005.HK
30,9741,107978.0,,Sold at price 11.08 per share.,Blackburn (Richard Martin),,,2025-03-10,D,0005.HK
31,9763,,,,Rosha (Surendra),,,2025-03-10,D,0005.HK
32,1563,17325.0,,Sold at price 11.08 per share.,Rosha (Surendra),,,2025-03-10,D,0005.HK
33,110465,,,,Roberts (Michael),,,2025-03-10,D,0005.HK
