"Date","Price","Open","High","Low","Vol.","Change %"
"31/12/2010","18.09","18.09","18.09","18.09","","-0.11%"
"30/12/2010","18.11","18.11","18.11","18.11","","-3.26%"
"29/12/2010","18.72","18.72","18.72","18.72","","-3.51%"
"28/12/2010","19.40","19.40","19.40","19.40","","12.46%"
"24/12/2010","17.25","17.25","17.25","17.25","","-0.17%"
"23/12/2010","17.28","17.28","17.28","17.28","","2.31%"
"22/12/2010","16.89","16.89","16.89","16.89","","-4.41%"
"21/12/2010","17.67","17.67","17.67","17.67","","0.06%"
"20/12/2010","17.66","17.66","17.66","17.66","","-0.39%"
"17/12/2010","17.73","17.73","17.73","17.73","","-2.58%"
"16/12/2010","18.20","18.20","18.20","18.20","","-2.67%"
"15/12/2010","18.70","18.70","18.70","18.70","","1.69%"
"14/12/2010","18.39","18.39","18.39","18.39","","-5.06%"
"13/12/2010","19.37","19.37","19.37","19.37","","-0.05%"
"10/12/2010","19.38","19.38","19.38","19.38","","-1.32%"
"09/12/2010","19.64","19.64","19.64","19.64","","-1.21%"
"08/12/2010","19.88","19.88","19.88","19.88","","1.02%"
"07/12/2010","19.68","19.68","19.68","19.68","","-3.24%"
"06/12/2010","20.34","20.34","20.34","20.34","","-1.55%"
"03/12/2010","20.66","20.66","20.66","20.66","","-4.84%"
"02/12/2010","21.71","21.71","21.71","21.71","","-0.46%"
"01/12/2010","21.81","21.81","21.81","21.81","","-4.05%"
"30/11/2010","22.73","22.73","22.73","22.73","","0.00%"
"29/11/2010","22.73","22.73","22.73","22.73","","-2.78%"
"26/11/2010","23.38","23.38","23.38","23.38","","0.30%"
"25/11/2010","23.31","23.31","23.31","23.31","","-3.52%"
"24/11/2010","24.16","24.16","24.16","24.16","","-5.51%"
"23/11/2010","25.57","25.57","25.57","25.57","","14.51%"
"22/11/2010","22.33","22.33","22.33","22.33","","-2.57%"
"19/11/2010","22.92","22.92","22.92","22.92","","-2.05%"
"18/11/2010","23.40","23.40","23.40","23.40","","-5.11%"
"17/11/2010","24.66","24.66","24.66","24.66","","4.49%"
"16/11/2010","23.60","23.60","23.60","23.60","","-0.08%"
"15/11/2010","23.62","23.62","23.62","23.62","","3.19%"
"12/11/2010","22.89","22.89","22.89","22.89","","7.72%"
"11/11/2010","21.25","21.25","21.25","21.25","","-4.02%"
"10/11/2010","22.14","22.14","22.14","22.14","","3.89%"
"09/11/2010","21.31","21.31","21.31","21.31","","0.09%"
"08/11/2010","21.29","21.29","21.29","21.29","","-3.97%"
"05/11/2010","22.17","22.17","22.17","22.17","","4.08%"
"04/11/2010","21.30","21.30","21.30","21.30","","-5.25%"
"03/11/2010","22.48","22.48","22.48","22.48","","0.63%"
"02/11/2010","22.34","22.34","22.34","22.34","","3.43%"
"01/11/2010","21.60","21.60","21.60","21.60","","1.08%"
"29/10/2010","21.37","21.37","21.37","21.37","","1.09%"
"28/10/2010","21.14","21.14","21.14","21.14","","-3.56%"
"27/10/2010","21.92","21.92","21.92","21.92","","9.38%"
"26/10/2010","20.04","20.04","20.04","20.04","","-2.34%"
"25/10/2010","20.52","20.52","20.52","20.52","","7.43%"
"22/10/2010","19.10","19.10","19.10","19.10","","1.54%"
"21/10/2010","18.81","18.81","18.81","18.81","","-3.09%"
"20/10/2010","19.41","19.41","19.41","19.41","","-5.18%"
"19/10/2010","20.47","20.47","20.47","20.47","","-1.82%"
"18/10/2010","20.85","20.85","20.85","20.85","","1.26%"
"15/10/2010","20.59","20.59","20.59","20.59","","-1.15%"
"14/10/2010","20.83","20.83","20.83","20.83","","5.84%"
"13/10/2010","19.68","19.68","19.68","19.68","","-2.38%"
"12/10/2010","20.16","20.16","20.16","20.16","","1.97%"
"11/10/2010","19.77","19.77","19.77","19.77","","-5.41%"
"08/10/2010","20.90","20.90","20.90","20.90","","1.46%"
"07/10/2010","20.60","20.60","20.60","20.60","","2.59%"
"06/10/2010","20.08","20.08","20.08","20.08","","3.03%"
