Metric,Strategy,Benchmark (^HSI),Tracker (2800.HK)
Strategy_Name,DNN Alpha Yield Strategy (HSI),N/A,N/A
Parameter_K,55,N/A,N/A
Parameter_N,1,N/A,N/A
Period_Start,2020-03-24,2020-03-24,2020-03-24
Period_End,2025-04-16,2025-04-16,2025-04-16
Cumulative Return,1.302888802690251,-0.10499379831562983,0.06113748143397246
Annualized Return,0.18409483164459295,-0.022237362563285124,0.012103262149070204
Annualized Volatility,0.3906124835982758,0.25495112787019275,0.25186054993955725
Sharpe Ratio,0.47129787033105863,-0.08722205996518352,0.04805541063090192
Sortino Ratio,0.48361153644536903,-0.08889210138061074,0.048072485364545864
Max Drawdown,-0.5831668839884991,-0.5275197639230567,-0.49388408549292645
Positive Days %,52.89389067524116,49.23572003218021,48.511665325824616
Trading Days,1244,1243,1243
Beta,-0.022891018699225003,1.0,N/A
Alpha (Jensen),0.2333451596733952,0.0,N/A
Correlation,-0.014968206719969594,1.0,N/A
Tracking Error,0.4690386536156001,0.0,N/A
